Bank Code,IFSC
PAYX,IBKL0340PC1
PBGX,IDIB0PBG001
PCBL,HDFC0CPATAN
PCBX,HDFC0CPCB01
PCCB,WBSC0PCCB01
PCCX,UTIB0SPKL01
PCMX,YESB0PMCB02
PCOX,SVCB0009002
PCPX,IBKL0087PCS
PCSX,TNSC0160101
PCTX,HDFC0CPCSBL
PCUX,YESB0PCUB01
PDBX,YESB0PDCCBL
PDCX,HDFC0CPDCCB
PDSX,KKBK0PNSB01
PDUX,PUCB0000002
PGBX,PKGB0000001
PGCX,KKBK0PCBL01
PGRX,HDFC0CPUCBL
PGTX,GSCB0UTPCBL
PITX,IBKL0768PJS
PJSB,PJSB0000001
PKBX,YESB0PKUB01
PLUX,UTIB0SPSB01
PMCX,HDFC0CPIMCO
PMEC,PMEC0000001
PMNX,YESB0PMNSB1
PNCX,YESB0PUCB01
PNMX,IBKL0548PMC
PNPX,NA
PNSX,HDFC0CPNSBL
PPBX,IBKL0548PPC
PPCX,HDFC0CPPCB1
PRCX,IBKL01272PC
PREX,HDFC0CPRCBL
PROX,HDFC0CPMCBL
PRPX,YESB0PSCB01
PRSX,HDFC0CPSBLN
PRUX,NA
PSBX,YESB0PSB002
PSCX,UTIB0PSCB01
PSIB,PSIB0000001
PSRX,APBL0009002
PSSX,IBKL0464PSS
PTCX,UTIB0SPCB01
PTNX,HDFC0CPUBLP
PTSX,GSCB0UPATAN
PUBX,HDFC0CPUCOB
PUCX,YESB0PUB001
PUDX,TNSC0010900
PUGX,PUNB0PGB003
PUNB,PUNB0244200
PUNX,HDFC0CCPUBL
PUSX,NA
PUUX,YESB0TPUCB1
PVAX,IBKL0087PSB
PVCX,ICIC00PURVA
PWUX,YESB0TPCB02
PYCX,IBKL0114PCB
PYTM,PYTM0000001
QNBX,HDFC0CQNB01
QUCX,IBKL0737Q01
RABO,RABO0000001
RACX,ICIC00RCCBL
RAEX,UTIB0SRECB1
RAJX,YESB0RUCB05
RAKX,IBKL01642RP
RAMX,HDFC0CRMUCB
RANX,HDFC0CRPCBL
RATN,RATN0TREASU
RAUX,YESB0RLB001
RBBX,RRBP0000001
RBCX,INDB0RBECBL
RBIN,RBIS0RBIPI0
RCBX,HDFC0CRNGCB
RCCX,UTIB0SRCB01
RCDX,TNSC0011000
RCMX,YESB0RCUB01
RCUX,KKBK0RCUB01
